microbe,disease,effect,pmid,evidence,SCD,evidence_record_count
Clostridium difficile,recurrent wheeze,increase,17047098,Infants colonised with C. difficile were at higher risk of developing recurrent wheeze (OR adj= 1.75; 95% CI 1.09 to 2.80),"An enhanced T helper 2 (Th2) immune response and the elaboration of cytokines such as interleukin (IL)-4, IL-13 and IL-5 contribute to the induction of atopic diseases.",1
Clostridium difficile,allergic sensitisation,increase,17047098,Infants colonised with C. difficile were at higher risk of developing allergic sensitisation (OR adj= 1.54; 95% CI 1.02 to 2.31),"An enhanced T helper 2 (Th2) immune response and the elaboration of cytokines such as interleukin (IL)-4, IL-13 and IL-5 contribute to the induction of atopic diseases.",1
Clostridium difficile,atopic dermatitis,increase,17047098,Presence of C. difficile was associated with a higher risk of a diagnosis of atopic dermatitis (OR adj= 1.73; 95% CI 1.08 to 2.78),"An enhanced T helper 2 (Th2) immune response and the elaboration of cytokines such as interleukin (IL)-4, IL-13 and IL-5 contribute to the induction of atopic diseases.",1
Clostridium spp,Crohn's disease,increase,17119388,Prevalence significantly higher in CD samples compared to healthy specimens,"Interleukin-10 and interleukin-2 deficient animal models develop intestinal inflammation when exposed to enteric bacteria, suggesting a role for these cytokines in regulating microbial-induced inflammation in Crohn's disease",1
Ruminococcus torques,Crohn's disease,increase,17119388; 20648002; 21209126; 26351391,"Prevalence significantly higher in CD samples compared to healthy specimens || Mean Ruminococcus torques were increased ~100-fold in macroscopically and histologically normal intestinal epithelium of both CD and UC || More abundant in unaffected relatives (p=0.02), suggests mucin degradation capacity || Increased incidence in mucosa-associated microbiota of CD patients","Interleukin-10 and interleukin-2 deficient animal models develop intestinal inflammation when exposed to enteric bacteria, suggesting a role for these cytokines in regulating microbial-induced inflammation in Crohn's disease || Faecalibacterium prausnitzii's anti-inflammatory properties and butyrate production may explain its protective role in Crohn's disease. The dysbiosis signature in CD involves alterations in microbial species linked to inflammation and mucosal barrier function. || In CD, there was enhanced up-regulation of interleukin-6 transcripts and impaired RAR-related orphan receptor C response to bifidobacteria, whereas decreased interferon-gamma response was observed in both CD and UC.",4
Escherichia coli,Crohn's disease,increase,17119388; 20848492; 22102318; 26351391; 26752462; 31530835,"Prevalence significantly higher in CD samples compared to healthy specimens || More abundant in CD patients than in healthy subjects || Higher Escherichia coli reported in patients with Crohn's disease || Increased incidence, especially the adherent-invasive E. coli (AIEC) pathovar || Adherent Invasive Escherichia coli strains are especially prevalent in ileal CD || Increase in adherent-invasive E. coli, particularly in ileal Crohn's disease","Interleukin-10 and interleukin-2 deficient animal models develop intestinal inflammation when exposed to enteric bacteria, suggesting a role for these cytokines in regulating microbial-induced inflammation in Crohn's disease || Dysbiosis of gut microbiota in Crohn's disease may result from defective regulation of mucosal immune interactions, potentially involving mutations in the NOD2/CARD15 gene which regulates host responses to bacteria. Beneficial bacteria producing short-chain fatty acids like butyrate may ameliorate inflammation. || Bifidobacteria increase DC interleukin (IL)-10 production and decrease interferon-gamma release. Faecalibacterium prausnitzii reduces IL-12 and increases IL-10 release in vitro. || In CD, there was enhanced up-regulation of interleukin-6 transcripts and impaired RAR-related orphan receptor C response to bifidobacteria, whereas decreased interferon-gamma response was observed in both CD and UC. || Interleukin-10 knock-out mice and transgenic HLA-B27 rats do not develop experimental colitis in the absence of microbiota, indicating the role of microbial interactions in inflammatory bowel disease",6
Faecalibacterium,Crohn's disease,decrease,17119388; 24348539; 26752462; 26937623; 28852861,More frequently found in healthy specimens compared to CD samples || Significantly reduced in CD patients compared to both UC patients and control subjects || Faecalibacterium was strongly reduced in ileal CD compared with CD with colonic involvement || Abundance significantly different between inflamed CD and UC || Genus Faecalibacterium was significantly decreased in CD patients compared to non-IBD controls,"Interleukin-10 and interleukin-2 deficient animal models develop intestinal inflammation when exposed to enteric bacteria, suggesting a role for these cytokines in regulating microbial-induced inflammation in Crohn's disease || Interleukin-10 knock-out mice and transgenic HLA-B27 rats do not develop experimental colitis in the absence of microbiota, indicating the role of microbial interactions in inflammatory bowel disease",5
Roseburia spp,obesity,decrease,17189447; 27358411,"Reduced dietary intake of carbohydrates resulted in decreased concentrations of butyrate and butyrate-producing bacteria, including Roseburia spp. || HF diets induce gut dysbiosis characterized by loss of SCFA-producing species such as Roseburia spp","Butyrate, a short-chain fatty acid produced by gut microbiota, is implicated in the prevention of colitis and colorectal cancer. Reduced carbohydrate intake led to decreased fecal butyrate levels, which may impact gut health. || Butyrate and propionate exhibit anti-inflammatory properties by promoting the differentiation of T-regulatory cells and IL10-producing T cells, which are vital in maintaining gut tolerance. A 59% greater colonic interleukin 10 (Il10) gene expression was observed in the HF+10%M group than in the HF group, indicating modulation of gut inflammation.",2
Eubacterium rectale,obesity,decrease,17189447,"Reduced dietary intake of carbohydrates resulted in decreased concentrations of butyrate and butyrate-producing bacteria, including Eubacterium rectale.","Butyrate, a short-chain fatty acid produced by gut microbiota, is implicated in the prevention of colitis and colorectal cancer. Reduced carbohydrate intake led to decreased fecal butyrate levels, which may impact gut health.",1
Bifidobacteria,obesity,decrease,17189447; 27358411; 30404613,"Reduced dietary intake of carbohydrates resulted in decreased concentrations of bifidobacteria. || HF feeding significantly reduced Bifidobacteria, which was prevented by mango supplementation || Decreased levels in mice fed lard-based high-fat diet leading to increased intestinal permeability and obesity","Butyrate, a short-chain fatty acid produced by gut microbiota, is implicated in the prevention of colitis and colorectal cancer. Reduced carbohydrate intake led to decreased fecal butyrate levels, which may impact gut health. || Butyrate and propionate exhibit anti-inflammatory properties by promoting the differentiation of T-regulatory cells and IL10-producing T cells, which are vital in maintaining gut tolerance. A 59% greater colonic interleukin 10 (Il10) gene expression was observed in the HF+10%M group than in the HF group, indicating modulation of gut inflammation. || High-fat diets alter gut microbiota composition, leading to increased intestinal permeability and higher levels of endotoxins in gut and plasma, which may contribute to obesity and metabolic disorders. Specific bacterial taxa are associated with increased inflammation and metabolic dysfunction.",3
Lactobacillus delbrueckii ssp. bulgaricus,lactose intolerance,decrease,17217568,Yogurt provides b-galactosidase and reduces symptoms of lactose intolerance,,1
Lactobacillus acidophilus,harmful enzyme production,decrease,17217568,Decreases potentially harmful enzymes of the resident microbiota such as b-glucuronidase and nitroreductase,,1
Lactobacillus casei,harmful enzyme production,decrease,17217568,Decreases potentially harmful enzymes of the resident microbiota such as b-glucuronidase and nitroreductase,,1
Bifidobacterium bifidum,harmful enzyme production,decrease,17217568,Decreases potentially harmful enzymes of the resident microbiota such as b-glucuronidase and nitroreductase,,1
Enterobacteriaceae,intestinal microbiota imbalance,decrease,17217568,Level of Enterobacteriaceae was significantly lower in yogurt consumers,,1
Enterobacteriaceae,Ulcerative colitis,increase,17265126,High incidence observed in UC patient compared to healthy subjects,"The patient was treated with anti-TNF-α (infliximab), indicating the involvement of TNF-α in the inflammatory process of ulcerative colitis.",1
Bacteroides fragilis,Ulcerative colitis,increase,17265126,High incidence observed in UC patient compared to healthy subjects,"The patient was treated with anti-TNF-α (infliximab), indicating the involvement of TNF-α in the inflammatory process of ulcerative colitis.",1
Faecalibacterium prausnitzii-like Butyrate-producing bacterium L2-6,Ulcerative colitis,increase,17265126,Single phylotype found in high incidence in UC patient,"The patient was treated with anti-TNF-α (infliximab), indicating the involvement of TNF-α in the inflammatory process of ulcerative colitis.",1
Pseudomonas aeruginosa,Ulcerative colitis,increase,17265126,Substantial presence observed in UC patient,"The patient was treated with anti-TNF-α (infliximab), indicating the involvement of TNF-α in the inflammatory process of ulcerative colitis.",1
Helicobacter pylori,asthma,decrease,17452546,"Presence of cagA+ H pylori strains was inversely related to ever having asthma (OR, 0.79; 95% CI, 0.63-0.99), with stronger inverse association for childhood-onset asthma (OR, 0.63; 95% CI, 0.43-0.93)",,1
Helicobacter pylori,allergic rhinitis,decrease,17452546,"Colonization with H pylori, especially cagA+ strains, was inversely associated with currently (OR, 0.77; 95% CI, 0.62-0.96) or ever (OR, 0.77; 95% CI, 0.62-0.94) having allergic rhinitis, particularly for childhood onset (OR, 0.55; 95% CI, 0.37-0.82)",,1
Helicobacter pylori,allergy,decrease,17452546,Consistent inverse associations were found between H pylori colonization and the presence of allergy symptoms in the previous year and sensitization to pollens and molds,,1
Coprococcus,Irritable bowel syndrome,increase,17631127,Significant differences in bacterial genera including Coprococcus were found in IBS patients compared to healthy controls,,1
Collinsella,Irritable bowel syndrome,increase,17631127,Significant differences in bacterial genera including Collinsella were found in IBS patients compared to healthy controls,,1
Coprobacillus,Irritable bowel syndrome,increase,17631127,Significant differences in bacterial genera including Coprobacillus were found in IBS patients compared to healthy controls,,1
Bacteroides fragilis group,inflammatory bowel disease,decrease,17897884,Significantly decreased in the faeces of patients with IBD,,1
Bacteroides vulgatus,inflammatory bowel disease,decrease,17897884,Predominant in healthy controls but relatively decreased among IBD patients,,1
Clostridium coccoides group,inflammatory bowel disease,increase,17897884,Predominant microflora adhering to the colonic mucosa surrounding the mucus layer in IBD patients,,1
Bifidobacterium,inflammatory bowel disease,increase,17897884,Predominant microflora adhering to the colonic mucosa surrounding the mucus layer in IBD patients,,1
Bacteroides,Coeliac disease,increase,18033837,Significantly more abundant in CD patients with active disease than in controls,"In coeliac patients, exposure to gluten leads to activation of Th1 pro-inflammatory cytokines, such as gamma interferon, and an innate immune response mediated by interleukin-15",1
Escherichia coli,Coeliac disease,increase,18033837,Significantly more abundant in CD patients with active disease than in controls,"In coeliac patients, exposure to gluten leads to activation of Th1 pro-inflammatory cytokines, such as gamma interferon, and an innate immune response mediated by interleukin-15",1
Lactobacillus-Bifidobacterium,Coeliac disease,decrease,18033837,Ratio to Bacteroides-E. coli was significantly reduced in coeliac patients compared with controls,"In coeliac patients, exposure to gluten leads to activation of Th1 pro-inflammatory cytokines, such as gamma interferon, and an innate immune response mediated by interleukin-15",1
Pseudomonas aeruginosa,cystic fibrosis,increase,18077362; 31857448,Recognized traditionally in CF airway disease and contributes to microbial infections in the airway || P. aeruginosa is prevalent in CF patients and associated with poor outcomes,"The aryl hydrocarbon receptor (AhR) detects P. aeruginosa quorum-sensing molecules (e.g., homoserine lactones, quinolones, phenazines) and modulates host immune responses, including induction of inflammatory mediators and immune cell recruitment, to regulate defense mechanisms against infection",2
Staphylococcus aureus,cystic fibrosis,increase,18077362,Recognized traditionally in CF airway disease and contributes to microbial infections in the airway,,1
Haemophilus influenzae,cystic fibrosis,increase,18077362,Recognized traditionally in CF airway disease and contributes to microbial infections in the airway,,1
Burkholderia cepacia complex,cystic fibrosis,increase,18077362,Recognized traditionally in CF airway disease and contributes to microbial infections in the airway,,1
Stenotrophomonas maltophilia,cystic fibrosis,increase,18077362,"Associated with CF, but there is controversy as to their roles as pathogens",,1
Achromobacter xylosoxidans,cystic fibrosis,increase,18077362,"Associated with CF, but there is controversy as to their roles as pathogens",,1
Prevotella denticola,cystic fibrosis,increase,18077362,Identified as a candidate pathogen in CF subjects,,1
Lysobacter sp.,cystic fibrosis,increase,18077362,Identified as a candidate pathogen in CF subjects,,1
Rickettsiales,cystic fibrosis,increase,18077362,Identified as a candidate pathogen in CF subjects,,1
Bifidobacterium,overweight,decrease,18326589,Higher bifidobacterial numbers in fecal samples during infancy were associated with children remaining normal weight compared to those becoming overweight,,1
Staphylococcus aureus,overweight,increase,18326589; 29280312,Greater number of Staphylococcus aureus in fecal samples during infancy was associated with children becoming overweight compared to those remaining normal weight || Found to be more abundant in the guts of children with overweight and pregnant women,"Inflammatory markers were significantly disturbed in overweight and obesity groups, with worse metabolic status in patients with acanthosis nigricans",2
Bacteroides uniformis,Crohns disease,decrease,18401439; 26789999,CD individuals had a lower relative abundance of B. uniformis || Reduced abundance in CD patients compared to healthy individuals,"The dysbiosis in Crohn's disease is associated with reduced abundance of butyrate-producing bacteria and increased CRP levels, indicating an inflammatory state.",2
Bacteroides ovatus,Crohns disease,increase,18401439,CD individuals had higher relative abundances of B. ovatus,,1
Bacteroides vulgatus,Crohns disease,increase,18401439,CD individuals had higher relative abundances of B. vulgatus,,1
Vibrio cholerae O1,cholera,increase,18598639,"V. cholerae O1 carrying qnrVC2 shows increased resistance to ciprofloxacin, potentially complicating treatment",,1
Vibrio parahaemolyticus,cholera,increase,18598639,"qnrVC1 attC site has 89% identity with V. parahaemolyticus repeats, suggesting horizontal gene transfer of quinolone resistance",,1
Eubacterium rectale,colorectal cancer,decrease,18624900,Levels were decreased approximately fourfold in colorectal cancer patients compared to healthy control volunteers,,1
Faecalibacterium prausnitzii,colorectal cancer,decrease,18624900; 26296733; 29995183,Levels were decreased approximately fourfold in colorectal cancer patients compared to healthy control volunteers || Depletion of F. prausnitzii has been reported in CRC patients || Associated with a reduced risk of CRC,"Faecalibacterium prausnitzii promotes gut health through the secretion of anti-inflammatory compounds such as butyrate and reduces the severity of induced-colitis in mice || Short chain fatty acids and butyrate producing bacteria such as Anaerostipes species and Butyrivibrio species suppress inflammation and inhibit neoplastic changes while other bacterial metabolites such as secondary bile acids can induce inflammation, cause DNA damage, and enhance carcinogenesis",3
Enterococcus faecalis,colorectal cancer,increase,18624900; 25699023; 29290650; 29985435; 31460576; 31488085; 31836795; 32071370,Populations were significantly higher in colorectal cancer patients compared to healthy volunteers || Produces extracellular genotoxins and DNA damaging superoxide radicals that can contribute to CRC development || May be toxic enough to cause colorectal cancer || Enterococcus faecalis has been correlated with CRC carcinogenesis || The mean copy number of Enterococcus faecalis in patients with colorectal cancer was significantly higher than in healthy individuals (11.2x109 vs 9x108 per gram of stool) || Mentioned as having a role in colorectal carcinogenesis || Levels of Enterococcus faecalis in the faecal flora of patients with colorectal cancer are significantly higher than those in the faecal flora of polyp patients and healthy people || Enterococcus faecalis produces extracellular genotoxins and free radicals targeting DNA that can contribute to CRC development.,"Enterococcus faecalis produces reactive oxygen radicals that damage colon epithelial DNA, playing a role in the formation of adenomatous polyps and colorectal cancer || Bacteroides fragilis toxin (BFT) induces IL-8 secretion and IL-17-dependent inflammation, triggers β-catenin nuclear signaling, and causes oxidative DNA damage, contributing to colorectal cancer progression || The microbiome has the potential to generate a microenvironment that favors the development of CRC, presumably by recruiting mediators such as interleukins, tumor necrosis factor-alpha, and reactive oxygen species.",8
Bacteroidetes,familial Mediterranean fever,decrease,18725973,"Significant changes in bacterial community structure in FMF characterized by depletion of total numbers of bacteria, loss of diversity, and major shifts in bacterial populations within the Bacteroidetes phyla in attack",,1
Firmicutes,familial Mediterranean fever,decrease,18725973,"Significant changes in bacterial community structure in FMF characterized by depletion of total numbers of bacteria, loss of diversity, and major shifts in bacterial populations within the Firmicutes phyla in attack",,1
Proteobacteria,familial Mediterranean fever,decrease,18725973,"Significant changes in bacterial community structure in FMF characterized by depletion of total numbers of bacteria, loss of diversity, and major shifts in bacterial populations within the Proteobacteria phyla in attack",,1
Firmicutes,obesity,increase,19164560; 23516617; 24413286; 25713030; 26962054; 27559357; 29152632; 29578242; 29665619; 29787870; 30284469; 30516329; 30984260,"Firmicutes were dominant in obese individuals compared to normal-weight individuals || Increase in Firmicutes after smoking cessation, similar to microbiota patterns in obese individuals || Obese individuals exhibit a relative increase in Firmicutes compared with lean individuals || Higher abundance of Firmicutes is associated with the development of obesity || Proportions of Firmicutes shifted with Pb exposure and were associated with increased bodyweight in males || The relative proportion of fecal Firmicutes is higher in obese individuals || Increased ratio of Firmicutes to Bacteroidetes is associated with diet-induced obesity || Phylum-level analyses showed an increased population of Firmicutes in ovariectomized mice, which was associated with obesity || Increase of Firmicutes contributes to the development of obesity || HSYA decreased the phyla Firmicutes/Bacteroidetes ratio, and Firmicutes was positively correlated with body weight, fasting serum glucose and insulin || Remarkably affluent in obese model group at phylum level || HFD-induced gut dysbiosis is associated with increased Firmicutes-to-Bacteroidetes ratios, which garcinol reverses || High abundance in microbiota composition reflects the state of metabolic disorders in ob/ob and db/db mice","Methanobrevibacter smithii enhances short-chain fatty acid (SCFA) production by fermentative bacteria by removing H2 and formate, which may contribute to increased energy-harvesting efficiency in obesity || Firmicutes and Bacteroidetes modulate insulin resistance through the regulation of GLP-1 secretion in obesity || CQR reduces serum inflammatory markers (IL-6, TNF-α, MCP-1) and reverses serum biochemical parameters (adiponectin, insulin, leptin) in HFD-induced obesity || LPS promotes inflammation through TLR4 complex, inducing production of inflammatory cytokines such as CRP, contributing to chronic low-grade inflammation and cardiovascular risk || HSYA reduced inflammation in HF diet-fed mice, but specific cytokines or signaling molecules were not mentioned in the provided text. || AMP-activated protein kinase (AMPK) signaling pathway is involved in adipocyte adipogenesis and is affected by garcinol, leading to decreased lipogenesis and increased glucose uptake || High-fat diet changes microbiota composition and increases intestinal permeability, leading to more LPS release which initiates TLR4 signaling and inflammatory response, contributing to obesity and T2D",13
Prevotellaceae,obesity,increase,19164560,Prevotellaceae were highly enriched in obese individuals,"Methanobrevibacter smithii enhances short-chain fatty acid (SCFA) production by fermentative bacteria by removing H2 and formate, which may contribute to increased energy-harvesting efficiency in obesity",1
Methanobrevibacter smithii,obesity,increase,19164560,Higher numbers of H2-utilizing methanogenic Archaea (including Methanobrevibacter smithii) were detected in obese individuals,"Methanobrevibacter smithii enhances short-chain fatty acid (SCFA) production by fermentative bacteria by removing H2 and formate, which may contribute to increased energy-harvesting efficiency in obesity",1
Gammaproteobacteria,obesity,decrease,19164560,Gammaproteobacteria increased in post-gastric-bypass individuals who had reduced obesity,"Methanobrevibacter smithii enhances short-chain fatty acid (SCFA) production by fermentative bacteria by removing H2 and formate, which may contribute to increased energy-harvesting efficiency in obesity",1
Bacteroidetes,obesity,decrease,19164560; 23516617; 24413286; 25713030; 27559357; 27599699; 28589947; 29578242; 29787870; 30516329,"Bacteroidetes were lower in obese individuals compared to lean counterparts || Decrease in Bacteroidetes after smoking cessation, similar to microbiota patterns in obese individuals || Obese individuals exhibit a remarkable reduction in the abundance of Bacteroidetes compared with lean individuals || Reduction in the abundance of Bacteroidetes is associated with the development of obesity || The relative proportion of fecal Bacteroidetes is lower in obese individuals || HFBS diet resulted in markedly increased relative abundance of Bacteroidetes, which is strongly correlated with body weight reduction || EGCG+RES supplementation significantly decreased Bacteroidetes in overweight and obese men || Phylum-level analyses showed a reduced population of Bacteroidetes in ovariectomized mice, which was associated with obesity || Bacteroidetes was negatively correlated with body weight, fasting serum glucose and insulin || HFD-induced gut dysbiosis is associated with decreased Bacteroidetes, which garcinol helps to restore","Methanobrevibacter smithii enhances short-chain fatty acid (SCFA) production by fermentative bacteria by removing H2 and formate, which may contribute to increased energy-harvesting efficiency in obesity || Firmicutes and Bacteroidetes modulate insulin resistance through the regulation of GLP-1 secretion in obesity || HSYA reduced inflammation in HF diet-fed mice, but specific cytokines or signaling molecules were not mentioned in the provided text. || AMP-activated protein kinase (AMPK) signaling pathway is involved in adipocyte adipogenesis and is affected by garcinol, leading to decreased lipogenesis and increased glucose uptake",10
Faecalibacterium prausnitzii,Crohn's disease,decrease,19235886; 20848492; 21209126; 22102318; 22846404; 23351032; 24478468; 25547975; 26351391; 27542127; 27734914; 28902124; 30567928; 31530835; 32476236,"Lower counts in active Crohn's disease patients compared to healthy subjects || 5–10-fold more abundant in healthy subjects than in CD patients || Lower presence in patients with CD (p<1.33×10^-5), known for butyrate production and anti-inflammatory properties || Lower F. prausnitzii in patients with Crohn's disease compared to healthy controls || The genus Faecalibacterium was significantly decreased in CD patients as compared to UC patients and/or healthy individuals || Numbers were reduced in CD compared to healthy controls || Sharply decreased in both fecal and biopsy specimens of active CD patients compared to healthy controls || Strong reductions in CD patients compared with healthy controls || Reduced incidence in mucosa-associated microbiota of CD patients || Lower proportions observed in smokers with CD, though not statistically significant || Reduction in relative abundance compared to healthy individuals || Depletion of Faecalibacterium prausnitzii is observed in patients with FGDS, which is typically observed in Crohn's disease || Lower abundance in individuals with CD (FDR = 1.85 × 10^-34) || Decrease in abundance in Crohn's disease patients || Decrease in butyrogenic colonic bacteria found in fecal and mucosal samples from CD patients","TLR2 and TLR4 pathways are involved in the protective effects of commensal microbiota against intestinal injury, as seen with E. coli Nissle 1917 probiotic effects || Dysbiosis of gut microbiota in Crohn's disease may result from defective regulation of mucosal immune interactions, potentially involving mutations in the NOD2/CARD15 gene which regulates host responses to bacteria. Beneficial bacteria producing short-chain fatty acids like butyrate may ameliorate inflammation. || Faecalibacterium prausnitzii's anti-inflammatory properties and butyrate production may explain its protective role in Crohn's disease. The dysbiosis signature in CD involves alterations in microbial species linked to inflammation and mucosal barrier function. || Bifidobacteria increase DC interleukin (IL)-10 production and decrease interferon-gamma release. Faecalibacterium prausnitzii reduces IL-12 and increases IL-10 release in vitro. || Reduction in Clostridium leptum and Faecalibacterium prausnitzii could contribute to reduced short chain fatty acid production in IBD, which influences intestinal epithelial function and anti-inflammatory effects || In CD, there was enhanced up-regulation of interleukin-6 transcripts and impaired RAR-related orphan receptor C response to bifidobacteria, whereas decreased interferon-gamma response was observed in both CD and UC. || Butyrate has anti-inflammatory properties and represents an important energy source for colonocytes. It regulates motility, pH and blood flow in the colon and improves the function of mucosal and epithelial intestinal barrier.",15
Faecalibacterium prausnitzii,ulcerative colitis,decrease,19235886; 23351032; 24021287; 24478468; 26296733; 27217061; 27833384,"Lower counts in active ulcerative colitis patients compared to healthy subjects || Numbers were reduced in UC compared to healthy controls || Lower abundance in UC patients compared to controls, with an inverse correlation with disease activity || Sharply decreased in both fecal and biopsy specimens of active UC patients compared to healthy controls || Depletion of F. prausnitzii has been reported in UC patients || Reductions in F. prausnitzii abundance were associated with disease flares and shorter time in remission in adult UC patients || Numbers were reduced in UC patients compared to healthy controls","TLR2 and TLR4 pathways are involved in the protective effects of commensal microbiota against intestinal injury, as seen with E. coli Nissle 1917 probiotic effects || Reduction in Clostridium leptum and Faecalibacterium prausnitzii could contribute to reduced short chain fatty acid production in IBD, which influences intestinal epithelial function and anti-inflammatory effects || The reduction of butyrate-producing bacteria (Roseburia hominis and Faecalibacterium prausnitzii) in UC patients suggests a potential role of short-chain fatty acids (SCFA) in modulating intestinal inflammation, though no direct correlation between SCFA levels and these bacteria was found. || Faecalibacterium prausnitzii promotes gut health through the secretion of anti-inflammatory compounds such as butyrate and reduces the severity of induced-colitis in mice",7
